2022-03-26 11:29:53,841  [INFO]  Epoch: 8  Loss: 0.09259,  Dice-Coef:  0.90741  (train_2022.py:  55)
2022-03-26 11:30:46,523  [INFO]  Epoch: 8  Loss: 0.29172,  Dice-Coef:  0.70828  (train_2022.py:  81)
2022-03-26 11:32:59,865  [INFO]  Epoch: 9  Loss: 0.09051,  Dice-Coef:  0.90949  (train_2022.py:  55)
2022-03-26 11:33:52,185  [INFO]  Epoch: 9  Loss: 0.22081,  Dice-Coef:  0.77919  (train_2022.py:  81)
2022-03-26 11:36:06,163  [INFO]  Epoch: 10  Loss: 0.09051,  Dice-Coef:  0.90949  (train_2022.py:  55)
2022-03-26 11:36:58,731  [INFO]  Epoch: 10  Loss: 0.21748,  Dice-Coef:  0.78252  (train_2022.py:  81)
2022-03-26 11:39:12,703  [INFO]  Epoch: 11  Loss: 0.08781,  Dice-Coef:  0.91219  (train_2022.py:  55)
2022-03-26 11:40:05,263  [INFO]  Epoch: 11  Loss: 0.25932,  Dice-Coef:  0.74068  (train_2022.py:  81)
2022-03-26 11:42:18,605  [INFO]  Epoch: 12  Loss: 0.08505,  Dice-Coef:  0.91495  (train_2022.py:  55)
2022-03-26 11:43:11,097  [INFO]  Epoch: 12  Loss: 0.24283,  Dice-Coef:  0.75717  (train_2022.py:  81)
2022-03-26 11:45:24,531  [INFO]  Epoch: 13  Loss: 0.08541,  Dice-Coef:  0.91459  (train_2022.py:  55)
2022-03-26 11:46:16,912  [INFO]  Epoch: 13  Loss: 0.25445,  Dice-Coef:  0.74555  (train_2022.py:  81)
2022-03-26 11:48:30,238  [INFO]  Epoch: 14  Loss: 0.08455,  Dice-Coef:  0.91545  (train_2022.py:  55)
2022-03-26 11:49:22,808  [INFO]  Epoch: 14  Loss: 0.23571,  Dice-Coef:  0.76429  (train_2022.py:  81)
2022-03-26 11:51:36,277  [INFO]  Epoch: 15  Loss: 0.08422,  Dice-Coef:  0.91578  (train_2022.py:  55)
2022-03-26 11:52:28,891  [INFO]  Epoch: 15  Loss: 0.28452,  Dice-Coef:  0.71548  (train_2022.py:  81)
2022-03-26 11:54:42,312  [INFO]  Epoch: 16  Loss: 0.08219,  Dice-Coef:  0.91781  (train_2022.py:  55)
2022-03-26 11:55:34,813  [INFO]  Epoch: 16  Loss: 0.23281,  Dice-Coef:  0.76719  (train_2022.py:  81)
2022-03-26 11:57:48,141  [INFO]  Epoch: 17  Loss: 0.08396,  Dice-Coef:  0.91604  (train_2022.py:  55)
2022-03-26 11:58:40,683  [INFO]  Epoch: 17  Loss: 0.24013,  Dice-Coef:  0.75987  (train_2022.py:  81)
2022-03-26 12:00:54,131  [INFO]  Epoch: 18  Loss: 0.08364,  Dice-Coef:  0.91636  (train_2022.py:  55)
2022-03-26 12:01:46,809  [INFO]  Epoch: 18  Loss: 0.23276,  Dice-Coef:  0.76724  (train_2022.py:  81)
2022-03-26 12:04:00,228  [INFO]  Epoch: 19  Loss: 0.08306,  Dice-Coef:  0.91694  (train_2022.py:  55)
2022-03-26 12:04:52,770  [INFO]  Epoch: 19  Loss: 0.27555,  Dice-Coef:  0.72445  (train_2022.py:  81)
2022-03-26 12:07:06,220  [INFO]  Epoch: 20  Loss: 0.08230,  Dice-Coef:  0.91770  (train_2022.py:  55)
2022-03-26 12:07:58,867  [INFO]  Epoch: 20  Loss: 0.25152,  Dice-Coef:  0.74848  (train_2022.py:  81)
2022-03-26 12:10:12,325  [INFO]  Epoch: 21  Loss: 0.08151,  Dice-Coef:  0.91849  (train_2022.py:  55)
2022-03-26 12:11:04,683  [INFO]  Epoch: 21  Loss: 0.24155,  Dice-Coef:  0.75845  (train_2022.py:  81)
2022-03-26 12:13:18,152  [INFO]  Epoch: 22  Loss: 0.08185,  Dice-Coef:  0.91815  (train_2022.py:  55)
2022-03-26 12:14:10,799  [INFO]  Epoch: 22  Loss: 0.23871,  Dice-Coef:  0.76129  (train_2022.py:  81)
2022-03-26 12:16:24,310  [INFO]  Epoch: 23  Loss: 0.08275,  Dice-Coef:  0.91725  (train_2022.py:  55)
2022-03-26 12:17:16,890  [INFO]  Epoch: 23  Loss: 0.24507,  Dice-Coef:  0.75493  (train_2022.py:  81)
2022-03-26 12:19:30,370  [INFO]  Epoch: 24  Loss: 0.08203,  Dice-Coef:  0.91797  (train_2022.py:  55)
2022-03-26 12:20:22,816  [INFO]  Epoch: 24  Loss: 0.23602,  Dice-Coef:  0.76398  (train_2022.py:  81)
2022-03-26 12:22:36,278  [INFO]  Epoch: 25  Loss: 0.08167,  Dice-Coef:  0.91833  (train_2022.py:  55)
2022-03-26 12:23:29,033  [INFO]  Epoch: 25  Loss: 0.24280,  Dice-Coef:  0.75720  (train_2022.py:  81)
2022-03-26 12:25:42,435  [INFO]  Epoch: 26  Loss: 0.08129,  Dice-Coef:  0.91871  (train_2022.py:  55)
2022-03-26 12:26:34,997  [INFO]  Epoch: 26  Loss: 0.24382,  Dice-Coef:  0.75618  (train_2022.py:  81)
2022-03-26 12:28:48,515  [INFO]  Epoch: 27  Loss: 0.08067,  Dice-Coef:  0.91933  (train_2022.py:  55)
2022-03-26 12:29:41,136  [INFO]  Epoch: 27  Loss: 0.24144,  Dice-Coef:  0.75856  (train_2022.py:  81)
2022-03-26 12:31:54,573  [INFO]  Epoch: 28  Loss: 0.08143,  Dice-Coef:  0.91857  (train_2022.py:  55)
2022-03-26 12:32:47,095  [INFO]  Epoch: 28  Loss: 0.23061,  Dice-Coef:  0.76939  (train_2022.py:  81)
2022-03-26 12:35:00,522  [INFO]  Epoch: 29  Loss: 0.08067,  Dice-Coef:  0.91933  (train_2022.py:  55)
2022-03-26 12:35:52,931  [INFO]  Epoch: 29  Loss: 0.23077,  Dice-Coef:  0.76923  (train_2022.py:  81)
2022-03-26 12:38:06,401  [INFO]  Epoch: 30  Loss: 0.08150,  Dice-Coef:  0.91850  (train_2022.py:  55)
2022-03-26 12:38:58,948  [INFO]  Epoch: 30  Loss: 0.23914,  Dice-Coef:  0.76086  (train_2022.py:  81)
2022-03-26 12:49:42,984  [INFO]  pspnet_res34 Train Start  (train_2022.py:  29)
2022-03-26 12:52:43,588  [INFO]  Epoch: 1  Loss: 0.35362,  Dice-Coef:  0.64638  (train_2022.py:  55)
2022-03-26 12:53:51,271  [INFO]  Epoch: 1  Loss: 0.30800,  Dice-Coef:  0.69200  (train_2022.py:  81)
2022-03-26 12:56:51,578  [INFO]  Epoch: 2  Loss: 0.16405,  Dice-Coef:  0.83595  (train_2022.py:  55)
2022-03-26 12:57:57,627  [INFO]  Epoch: 2  Loss: 0.24587,  Dice-Coef:  0.75413  (train_2022.py:  81)
